Processed,Time(h),Time(m),Time(s),Time(ms),Delt,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,PCTimestamp
1188,1,1,18,137,10,0.001953125,-0.0009765625,1.001953125,0.06103515625,0.3662109375,0.0,-0.16793162393184247,1.2444932844932168,-2.405020757021248,1687593786.9971263
1189,1,1,18,147,10,0.00634765625,-0.01708984375,0.99560546875,0.1220703125,0.30517578125,-0.06103515625,-6.16548962148984,-13.749401709401809,0.5937582417577119,1687593787.0091262
1190,1,1,18,157,10,0.005859375,-0.0126953125,0.986328125,0.1220703125,0.06103515625,0.0,-1.6673211233213436,-4.753064713064759,-0.9056312576317396,1687593787.0232713
1191,1,1,18,167,10,0.0068359375,0.001953125,0.9873046875,0.0,-0.06103515625,0.244140625,-1.6673211233213436,-15.24879120879126,12.588874236873721,1687593787.0282733
1192,1,1,18,177,10,0.017578125,-0.00537109375,0.99072265625,-0.06103515625,-0.1220703125,0.06103515625,-1.6673211233213436,2.743882783882725,3.5925372405367284,1687593787.0362723
1193,1,1,18,187,10,0.0078125,-0.0078125,0.9873046875,-0.18310546875,-0.18310546875,-0.1220703125,2.83084737484716,-10.750622710622793,3.5925372405367284,1687593787.0372727
1194,1,1,18,197,10,0.0087890625,-0.0126953125,0.98193359375,-0.1220703125,-0.06103515625,0.18310546875,-10.663658119658336,8.741440781440701,-5.403799755800264,1687593787.0382726
1195,1,1,18,207,10,0.01123046875,-0.01123046875,0.98583984375,-0.1220703125,0.0,-0.06103515625,-0.16793162393184247,-6.252454212454268,0.5937582417577119,1687593787.0552728
1196,1,1,18,217,10,0.009765625,-0.00732421875,0.97216796875,0.06103515625,-0.244140625,0.0,-0.16793162393184247,-6.252454212454268,-2.405020757021248,1687593787.0712736
1197,1,1,18,227,10,0.001953125,0.00341796875,0.98486328125,0.0,0.06103515625,-0.06103515625,2.83084737484716,-4.753064713064759,-3.904410256410756,1687593787.0726287
1198,1,1,18,237,10,0.0048828125,-0.00830078125,0.990234375,0.0,0.0,-0.1220703125,-10.663658119658336,1.2444932844932168,8.090705738705196,1687593787.0936358
1199,1,1,18,247,10,-0.00048828125,-0.0078125,1.009765625,0.0,0.06103515625,-0.06103515625,4.330236874236661,-16.74818070818077,8.090705738705196,1687593787.0946376
1200,1,1,18,257,10,0.00390625,-0.01025390625,1.0068359375,0.0,0.3662109375,-0.18310546875,-4.666100122100339,5.742661782661685,-3.904410256410756,1687593787.102513
1201,1,1,18,267,10,0.00048828125,-0.00927734375,1.009765625,0.06103515625,0.18310546875,0.0,4.330236874236661,1.2444932844932168,0.5937582417577119,1687593787.1085134
1202,1,1,18,277,10,0.0087890625,-0.00732421875,1.0126953125,0.244140625,0.3662109375,-0.06103515625,7.329015873015656,1.2444932844932168,-5.403799755800264,1687593787.122514
1203,1,1,18,287,10,0.0068359375,-0.0087890625,1.02734375,0.1220703125,0.48828125,0.1220703125,-3.1667106227108377,-9.251233211233284,-12.900747252747806,1687593787.1285133
1204,1,1,18,297,10,0.0009765625,-0.00830078125,1.01611328125,0.244140625,0.3662109375,0.06103515625,2.83084737484716,2.743882783882725,-11.401357753358297,1687593787.1575134
1205,1,1,18,307,10,-0.00390625,-0.01025390625,0.99853515625,0.0,0.54931640625,-0.1220703125,-9.164268620268835,-0.25489621489629144,-6.903189255189773,1687593787.1595132
1206,1,1,18,317,10,0.0,-0.00341796875,1.00048828125,0.0,0.1220703125,-0.06103515625,-6.16548962148984,1.2444932844932168,-5.403799755800264,1687593787.1605124
1207,1,1,18,327,10,0.01123046875,-0.013671875,1.00634765625,0.06103515625,0.06103515625,0.0,-0.16793162393184247,-1.7542857142857997,-5.403799755800264,1687593787.1735134
1208,1,1,18,337,10,0.00537109375,-0.01318359375,0.99560546875,0.0,0.0,0.0,-9.164268620268835,-4.753064713064759,6.591316239315745,1687593787.1825423
1209,1,1,18,347,10,0.001953125,-0.0126953125,0.99462890625,-0.06103515625,-0.06103515625,0.0,4.330236874236661,4.243272283272233,-5.403799755800264,1687593787.1835136
1210,1,1,18,357,10,0.001953125,-0.0048828125,1.0029296875,-0.06103515625,-0.1220703125,-0.18310546875,-4.666100122100339,2.743882783882725,-17.398915750916217,1687593787.196266
1211,1,1,18,367,10,0.00390625,-0.01708984375,0.984375,-0.1220703125,-0.18310546875,0.0,-3.1667106227108377,4.243272283272233,-5.403799755800264,1687593787.2092671
1212,1,1,18,377,10,0.0048828125,-0.013671875,0.9814453125,-0.06103515625,-0.1220703125,-0.30517578125,-3.1667106227108377,1.2444932844932168,5.091926739926237,1687593787.231737
1213,1,1,18,387,10,0.00830078125,-0.0126953125,0.99609375,-0.1220703125,-0.18310546875,-0.06103515625,2.83084737484716,-7.751843711843776,-6.903189255189773,1687593787.2337441
1214,1,1,18,397,10,0.0078125,-0.0166015625,1.00048828125,0.0,0.0,0.0,13.326573870573654,13.239609279609226,20.085821733821206,1687593787.2527442
1215,1,1,18,407,10,0.0,-0.01318359375,0.994140625,-0.1220703125,0.0,0.18310546875,-10.663658119658336,-16.74818070818077,-5.403799755800264,1687593787.254837
1216,1,1,18,417,10,0.0087890625,-0.01025390625,0.99853515625,-0.06103515625,-0.06103515625,0.0,-6.16548962148984,1.2444932844932168,-5.403799755800264,1687593787.2748444
1217,1,1,18,427,10,0.009765625,0.00244140625,0.98779296875,0.1220703125,0.06103515625,-0.1220703125,-0.16793162393184247,-1.7542857142857997,18.586432234431697,1687593787.2758453
1218,1,1,18,437,10,-0.0009765625,-0.0087890625,1.01318359375,0.18310546875,0.244140625,0.0,5.829626373626155,-4.753064713064759,-0.9056312576317396,1687593787.3048437
1219,1,1,18,447,10,-0.00244140625,-0.009765625,0.9990234375,0.0,0.30517578125,-0.1220703125,-3.1667106227108377,14.738998778998734,18.586432234431697,1687593787.305844
1220,1,1,18,457,10,-0.001953125,-0.00927734375,1.0126953125,0.244140625,0.3662109375,-0.1220703125,-3.1667106227108377,8.741440781440701,-5.403799755800264,1687593787.306844
1221,1,1,18,467,10,0.005859375,0.00390625,1.01318359375,0.0,0.42724609375,0.0,-1.6673211233213436,-4.753064713064759,-6.903189255189773,1687593787.317756
1222,1,1,18,477,10,0.0068359375,-0.01220703125,1.01220703125,0.06103515625,0.42724609375,0.0,2.83084737484716,-10.750622710622793,9.590095238094705,1687593787.3197644
1223,1,1,18,487,10,0.0009765625,-0.02392578125,1.00830078125,0.1220703125,0.48828125,0.0,14.825963369963155,1.2444932844932168,-2.405020757021248,1687593787.3467636
1224,1,1,18,497,10,0.0048828125,-0.01806640625,1.005859375,0.06103515625,0.42724609375,0.06103515625,-6.16548962148984,-1.7542857142857997,-15.899526251526709,1687593787.3487644
1225,1,1,18,507,10,0.00341796875,-0.001953125,0.99951171875,0.0,0.18310546875,-0.06103515625,4.330236874236661,-9.251233211233284,-5.403799755800264,1687593787.376765
1226,1,1,18,517,10,0.00537109375,0.0,0.9951171875,0.0,-0.06103515625,0.0,-0.16793162393184247,4.243272283272233,0.5937582417577119,1687593787.3785043
1227,1,1,18,527,10,0.00927734375,-0.00439453125,0.98876953125,0.0,0.0,-0.30517578125,-1.6673211233213436,-7.751843711843776,-6.903189255189773,1687593787.3795109
